LocalAuthorityBusinessID,BusinessName,BusinessType,RatingValue,RatingDate,AddressLine1,PostCode,LocalAuthorityName,PostCodeDistrict
137934,2 Chefs Catering Ltd,Other catering premises,5,2024-11-24,Unknown,Unknown,Reading,Unknown
80333,3 Love Food,Other catering premises,5,2026-04-17,Unknown,Unknown,Reading,Unknown
142094,3B's Cafe,Other catering premises,5,2026-03-17,735 Oxford Road,RG30 1JA,Reading,RG30
127516,3Cs Cafe at St Johns Church,Restaurant/Cafe/Canteen,5,2025-09-23,Gosbrook Road,RG4 5AN,Reading,RG4
140230,7 Day European Supermarket,Retailers - other,4,2024-12-07,181 Oxford Road,RG1 7UZ,Reading,RG1
129027,7 Day Local,Retailers - other,5,2019-06-23,53 Basingstoke Road,RG2 0ER,Reading,RG2
135630,7 Flowers & Tea,Restaurant/Cafe/Canteen,5,2019-03-07,4 Cross Street,RG1 1SN,Reading,RG1
06534,7 Rifles Reading,Other catering premises,5,2025-03-18,Brock Barracks Oxford Road,RG30 1HW,Reading,RG30
137250,7 Seas Fresh Fish,Retailers - other,1,2025-02-13,88 Oxford Road,RG1 7LJ,Reading,RG1
140348,7p Aperitivo Ltd,Importers/Exporters,5,2025-12-10,27 Rose Kiln Lane,RG2 0JZ,Reading,RG2
06488,7th Heaven,Restaurant/Cafe/Canteen,5,2025-02-14,101 Wokingham Road,RG6 1LH,Reading,RG6
99401,A & G Retail,Retailers - other,5,2024-06-03,Unknown,Unknown,Reading,Unknown
144943,A J Bakes & More,Other catering premises,4,2025-05-08,Unknown,Unknown,Reading,Unknown
60946,A&S News & Off Licence,Retailers - other,5,2017-12-03,130 Great Knollys Street,RG1 7HB,Reading,RG1
144425,Abbeyfield Wey Valley Society Maitland House,Hospitals/Childcare/Caring Premises,5,2025-01-29,11 Maitland Road,RG1 6NL,Reading,RG1
32171,Abbeymore Day Nursery,Hospitals/Childcare/Caring Premises,5,2025-04-30,161 Wokingham Road,RG6 1LP,Reading,RG6
06572,Abikwa Bakes,Other catering premises,5,2026-05-20,Unknown,Unknown,Reading,Unknown
06915,Acai Love,Mobile caterer,5,2026-07-23,207 Upper Woodcaote Rd,RG4 7JP,Reading,RG4
06690,Accent Catering at Geoffrey Field Infant & Junior School,Other catering premises,5,2025-10-22,Exbourne Road,RG2 8RH,Reading,RG2
33157,Accent Catering at Highdown School,School/college/university,4,2025-01-07,Surley Row,RG4 8LR,Reading,RG4
137811,Afghan Flavours,Takeaway/sandwich shop,3,2026-02-02,40 Oxford Road,RG1 7LA,Reading,RG1
06645,Afghan Palace Reading,Restaurant/Cafe/Canteen,3,2026-01-13,308 Oxford Road,RG30 1AD,Reading,RG30
143171,Agnes Coffee Shop,Restaurant/Cafe/Canteen,3,2025-05-20,184 Oxford Road,RG1 7PL,Reading,RG1
143832,Ahmed Superstore,Retailers - supermarkets/hypermarkets,5,2024-08-08,69-71 Whitley Street,RG2 0EG,Reading,RG2
139992,Ai La Home Cooking,Other catering premises,5,2025-11-14,Unknown,Unknown,Reading,Unknown
06718,AK Superstore,Retailers - supermarkets/hypermarkets,2,2026-01-09,41 Tilehurst Road,RG1 7TT,Reading,RG1
143843,AKA BBQ Station,Restaurant/Cafe/Canteen,5,2025-01-24,55 St Marys Butts,RG1 2LG,Reading,RG1
139135,Albie's Bakes,Other catering premises,5,2022-01-31,Unknown,Unknown,Reading,Unknown
131271,Aldi,Retailers - supermarkets/hypermarkets,5,2025-02-13,350 Basingstoke Road,RG2 0NT,Reading,RG2
54824,Aldi,Retailers - supermarkets/hypermarkets,5,2025-02-13,Caversham Road,RG1 8AL,Reading,RG1
143484,Aldi Stores Ltd,Retailers - supermarkets/hypermarkets,5,2024-02-08,Proctor End South,RG2 0GG,Reading,RG2
06953,All Nations Christian Centre,Restaurant/Cafe/Canteen,4,2026-05-29,1 Berkeley Avenue,RG1 6JE,Reading,RG1
06826,Allotment Productions,Retailers - other,1,2026-03-11,Unit 4a Paddock Road Industrial Estate Paddock Road,RG4 5BY,Reading,RG4
131871,Alper Kebabs Mobile Van outside National Tyres,Mobile caterer,5,2026-05-07,196 Basingstoke Road,RG2 0HH,Reading,RG2
1296,Al-Rehman General Store,Retailers - other,2,2026-02-02,45 Cholmeley Road,RG1 3NQ,Reading,RG1
55455,Alto Lounge,Restaurant/Cafe/Canteen,5,2025-09-02,30-32a Church Street,RG4 8AU,Reading,RG4
06691,Amanda.jay _art,Other catering premises,5,2025-10-24,Unknown,Unknown,Reading,Unknown
131930,Amazing Grace Afro Caribbean Shop,Retailers - other,3,2025-05-21,391 Oxford Road,RG30 1HA,Reading,RG30
140251,Amazing Grace Superstore Ltd,Retailers - other,3,2025-04-23,168 Oxford Road,RG1 7PL,Reading,RG1
144937,Amee's Kitchen,Other catering premises,1,2026-03-19,232 Shinfield Road,RG2 8EX,Reading,RG2
140036,Amee's Kitchen,Other catering premises,3,2025-04-11,734-736 Oxford Road,RG30 1EH,Reading,RG30
137669,American Candy,Retailers - other,4,2021-09-15,4a The Riverside,RG1 2AG,Reading,RG1
06565,Amò - Italian Street Food,Restaurant/Cafe/Canteen,5,2025-05-16,Unit 2 2-4 Kings Road,RG1 3AA,Reading,RG1
06913,Amorino,Restaurant/Cafe/Canteen,5,2026-06-23,37 Broad Street,RG1 2AA,Reading,RG1
141421,AMT Coffee at Royal Berkshire Hospital,Restaurant/Cafe/Canteen,5,2024-11-28,London Road,RG1 5AN,Reading,RG1
140406,Angel Bar,Pub/bar/nightclub,5,2024-11-22,18 Prospect Street,RG4 8JG,Reading,RG4
06799,ANJAPPAR Chettinad Indian Restaurant,Restaurant/Cafe/Canteen,1,2026-03-13,74 Kings Road,RG1 3BJ,Reading,RG1
136615,Anna Hamilton Baking,Other catering premises,5,2019-09-18,Unknown,Unknown,Reading,Unknown
135367,Anonymous Coffee Co at Thames Tower,Takeaway/sandwich shop,5,2025-09-19,37-45 Station Road,RG1 1LX,Reading,RG1
06813,Antonio Maria,Mobile caterer,4,2026-04-09,37 Church Road Caversham,RG4 7AG,Reading,RG4
34867,Apollo Youth Club,Hospitals/Childcare/Caring Premises,5,2025-06-20,22-24 Mount Pleasant,RG1 2TD,Reading,RG1
35312,Aramark Salvation Army,Restaurant/Cafe/Canteen,5,2025-09-18,Willow Street,RG1 6AB,Reading,RG1
145385,Artisan Loaf Makers,Other catering premises,5,2025-02-26,Britten Road,RG2 0AU,Reading,RG2
72092,Arusuvai,Other catering premises,5,2026-02-25,Unknown,Unknown,Reading,Unknown
06755,Asda Express PFS Berkeley,Retailers - other,4,2025-09-13,10 Berkeley Avenue,RG1 6JE,Reading,RG1
9131,Asda Service Station,Retailers - other,5,2025-11-10,12/14 School Road,RG31 5AL,Reading,RG31
443,Asda Superstore,Retailers - supermarkets/hypermarkets,5,2025-10-08,67 Honey End Lane,RG30 4EL,Reading,RG30
139927,Aseda Supermarkets,Retailers - supermarkets/hypermarkets,4,2025-07-31,170 Oxford Road,RG1 7PL,Reading,RG1
06721,Ashanti Royale Restaurant and Catering Services,Restaurant/Cafe/Canteen,1,2025-12-10,152 Oxford Road,RG1 7PJ,Reading,RG1
06605,ASR Solutions Ltd,Distributors/Transporters,5,2026-03-26,Unit 1 Meadow Road,RG1 8LB,Reading,RG1
06775,Athena's Gold,Other catering premises,5,2026-03-31,Unknown,Unknown,Reading,Unknown
97,Atif Superstore,Retailers - other,4,2025-09-18,481-483 Oxford Road,RG30 1HF,Reading,RG30
137175,Attimonosh,Takeaway/sandwich shop,5,2026-05-12,120a Henley Road,RG4 6DH,Reading,RG4
62021,Auntie Anne's Pretzels at The Oracle,Takeaway/sandwich shop,5,2025-11-05,Bridge Street,RG1 2AQ,Reading,RG1
06697,Avenue Food & Wine,Retailers - other,4,2025-11-19,92 Northcourt Avenue,RG2 7HQ,Reading,RG2
136937,Avilah Foods,Manufacturers/packers,3,2025-06-25,535 Oxford Road,RG30 1HJ,Reading,RG30
06772,Aya's Home Kitchen,Other catering premises,5,2026-04-14,48 Winton Road,RG28HJ,Reading,RG28HJ
125865,"Aylesbury, Chiltern & South Bucks Sports & Social Club",Other catering premises,5,2023-09-06,270 Whitley Wood Road,RG2 8FS,Reading,RG2
142769,B&M Store,Retailers - other,5,2023-12-04,Units 3a & 3b Brunel Shopping Centre,RG2 0HS,Reading,RG2
