BusinessName,AddressLine1,PostCode,RatingValue,PostCodeDistrict,BusinessType
JieLi Restaurant,19-23 Kings Street,RG1 2HG,0,RG1,Other catering premises
Kings Food and Wine,91-93 Kings Road,RG1 3DD,0,RG1,Retailers - other
Shirdi Saibaba Temple & Community,44 West Street,RG1 1TZ,0,RG1,Other catering premises
Turkish Halal Food Centre,133-135 Oxford Road,RG1 7UU,0,RG1,Retailers - other
Chillim,56 St Mary's Butts,RG1 2LG,1,RG1,Restaurant/Cafe/Canteen
Fresh Gurkha Grocery,253 London Road,RG1 3NY,1,RG1,Retailers - other
Bierhaus,8 Queens Walk,RG1 7QF,1,RG1,Restaurant/Cafe/Canteen
7 Seas Fresh Fish,88 Oxford Road,RG1 7LJ,1,RG1,Retailers - other
Grape Tree,64 Broad Street Mall,RG1 7QE,1,RG1,Retailers - other
Paya/Korean Krispy,84 London Street,RG1 4SJ,1,RG1,Takeaway/sandwich shop
Mr Cod,176 Oxford Road,RG1 7PL,1,RG1,Takeaway/sandwich shop
Mallu Nest,124 London Road,RG1 5AY,1,RG1,Takeaway/sandwich shop
Just Fresh,16 West Street,RG1 1TT,1,RG1,Retailers - other
Kenya Butchers,20 West Street,RG1 1TT,1,RG1,Retailers - other
Boba Bloom,91 Erleigh Road,RG1 5NN,1,RG1,Restaurant/Cafe/Canteen
ANJAPPAR Chettinad Indian Restaurant,74 Kings Road,RG1 3BJ,1,RG1,Restaurant/Cafe/Canteen
Reading Quality Fish,7 West Street,RG1 1TT,1,RG1,Retailers - other
Pizza House,80 Oxford Road,RG1 7LJ,1,RG1,Takeaway/sandwich shop
Premier Berkeley Stores,39a Berkeley Avenue,RG1 6JS,1,RG1,Retailers - other
Lois Afro Shop,273 Oxford Road,RG1 7PY,1,RG1,Retailers - other
Ashanti Royale Restaurant and Catering Services,152 Oxford Road,RG1 7PJ,1,RG1,Restaurant/Cafe/Canteen
Al-Rehman General Store,45 Cholmeley Road,RG1 3NQ,2,RG1,Retailers - other
Bally Convenience Store,2 Pell Street,RG1 2NZ,2,RG1,Retailers - other
AK Superstore,41 Tilehurst Road,RG1 7TT,2,RG1,Retailers - supermarkets/hypermarkets
Gloria's Food Hall,Reading Biscuit Factory 19 Queens Walk,RG1 7QE,2,RG1,Takeaway/sandwich shop
Bombay Punjabi,100 Oxford Road,RG1 7LJ,2,RG1,Takeaway/sandwich shop
Biryanish,92 Oxford Road,RG1 7LJ,2,RG1,Restaurant/Cafe/Canteen
Pho 86,35-37 St Marys Butts,RG1 2LS,2,RG1,Restaurant/Cafe/Canteen
Rafina Coffee Lounge,45 West Street,RG1 1TZ,2,RG1,Restaurant/Cafe/Canteen
Roosters Fried n Grill,217 London Road,RG1 3NY,2,RG1,Takeaway/sandwich shop
The Cocktail Club Reading,5 Gun Street,RG1 2JR,2,RG1,Pub/bar/nightclub
Best One,1a Nire Road,RG1 5LT,2,RG1,Retailers - other
the Pheasant Inn PH,225 Southampton Street,RG1 2RB,2,RG1,Pub/bar/nightclub
The Veg Box,44 West Street,RG1 1TZ,2,RG1,Retailers - other
